employee_id,month,q_workload,q_alignment,q_recognition,q_growth,comment_text,sentiment_compound,survey_mean,engagement_score,engagement_band
1,2023-10,2,5,3,1,"Heavy workload, burnout risk",-0.2732,2.75,0.41527,Moderate
1,2023-11,3,3,4,2,Workload is manageable most weeks,0.0,3.0,0.5,Moderate
1,2023-12,4,3,2,5,Tools are adequate for my tasks,0.2263,3.5,0.621445,Moderate
1,2024-01,2,3,4,2,Lack of growth opportunities,0.4404,2.75,0.5223099999999999,Moderate
1,2024-02,3,4,4,3,Hybrid schedule works most of the time,0.0,3.5,0.5875,Moderate
1,2024-03,4,5,3,2,"Communication is fine, some delays",0.2023,3.5,0.617845,Moderate
1,2024-04,4,3,3,5,Processes are okay but could be improved,0.6808,3.75,0.73337,High
1,2024-05,5,2,3,3,Team dynamic is stable,0.5859,3.25,0.631635,Moderate
1,2024-06,2,4,1,3,"Heavy workload, burnout risk",-0.2732,2.5,0.37151999999999996,Low
1,2024-07,2,4,4,3,Some projects more interesting than others,0.4576,3.25,0.61239,Moderate
1,2024-08,5,2,4,3,Workload is manageable most weeks,0.0,3.5,0.5875,Moderate
1,2024-09,4,3,3,3,Workload is manageable most weeks,0.0,3.25,0.54375,Moderate
1,2024-10,2,3,3,2,"Heavy workload, burnout risk",-0.2732,2.5,0.37151999999999996,Low
1,2024-11,4,5,3,3,Hybrid schedule works most of the time,0.0,3.75,0.63125,Moderate
1,2024-12,4,4,4,1,Hybrid schedule works most of the time,0.0,3.25,0.54375,Moderate
1,2025-01,3,5,4,5,Team celebrates wins together,0.8126,4.25,0.8406399999999999,High
1,2025-02,3,3,4,3,Workload is manageable most weeks,0.0,3.25,0.54375,Moderate
1,2025-03,3,3,3,2,Frequent reorganizations causing confusion,-0.296,2.75,0.41184999999999994,Moderate
1,2025-04,4,4,4,4,"Collaborative culture, love the projects",0.6369,4.0,0.770535,High
1,2025-05,2,4,4,3,Team dynamic is stable,0.5859,3.25,0.631635,Moderate
1,2025-06,3,2,3,3,Unclear career progression path,-0.25,2.75,0.41874999999999996,Moderate
1,2025-07,4,3,3,3,Hybrid schedule works most of the time,0.0,3.25,0.54375,Moderate
1,2025-08,5,3,4,2,Getting used to new systems,0.0,3.5,0.5875,Moderate
1,2025-09,4,4,3,4,Tools are adequate for my tasks,0.2263,3.75,0.665195,Moderate
2,2023-10,4,4,3,3,Workload is manageable most weeks,0.0,3.5,0.5875,Moderate
2,2023-11,3,5,3,4,"Communication is fine, some delays",0.2023,3.75,0.6615949999999999,Moderate
2,2023-12,3,4,3,2,Some projects more interesting than others,0.4576,3.0,0.56864,Moderate
2,2024-01,4,4,1,3,Standard benefits and compensation,0.3818,3.0,0.5572699999999999,Moderate
2,2024-02,3,4,4,4,Tools are adequate for my tasks,0.2263,3.75,0.665195,Moderate
2,2024-03,5,3,3,5,Good growth opportunities and training,0.7964,4.0,0.7944599999999999,High
2,2024-04,3,2,2,4,Lack of growth opportunities,0.4404,2.75,0.5223099999999999,Moderate
2,2024-05,4,4,5,3,Strong leadership and transparent communication,0.5106,4.0,0.75159,High
2,2024-06,3,3,4,2,Processes are okay but could be improved,0.6808,3.0,0.60212,Moderate
2,2024-07,3,4,3,3,Processes are okay but could be improved,0.6808,3.25,0.6458699999999999,Moderate
2,2024-08,2,3,3,4,Some projects more interesting than others,0.4576,3.0,0.56864,Moderate
2,2024-09,3,5,2,3,Processes are okay but could be improved,0.6808,3.25,0.6458699999999999,Moderate
2,2024-10,3,3,3,3,Standard benefits and compensation,0.3818,3.0,0.5572699999999999,Moderate
2,2024-11,4,4,4,3,Standard benefits and compensation,0.3818,3.75,0.6885199999999999,Moderate
2,2024-12,3,4,3,3,Tools are adequate for my tasks,0.2263,3.25,0.577695,Moderate
2,2025-01,4,4,2,2,Workload is manageable most weeks,0.0,3.0,0.5,Moderate
2,2025-02,3,4,5,4,Challenging work with great autonomy,0.6908,4.0,0.7786199999999999,High
2,2025-03,2,5,4,4,Team dynamic is stable,0.5859,3.75,0.719135,High
2,2025-04,3,5,2,5,Processes are okay but could be improved,0.6808,3.75,0.73337,High
2,2025-05,2,4,5,5,Excellent work-life balance here,0.5719,4.0,0.7607849999999998,High
2,2025-06,5,5,2,3,Processes are okay but could be improved,0.6808,3.75,0.73337,High
2,2025-07,2,3,4,5,Team dynamic is stable,0.5859,3.5,0.675385,Moderate
2,2025-08,3,3,2,4,Tools are adequate for my tasks,0.2263,3.0,0.533945,Moderate
2,2025-09,4,4,5,4,Manager provides regular feedback,0.0,4.25,0.71875,High
3,2023-10,5,4,3,4,Strong leadership and transparent communication,0.5106,4.0,0.75159,High
3,2023-11,3,4,5,2,Hybrid schedule works most of the time,0.0,3.5,0.5875,Moderate
3,2023-12,4,5,4,3,Great manager and clear goals,0.7717,4.0,0.7907549999999999,High
3,2024-01,4,2,2,5,Workload is manageable most weeks,0.0,3.25,0.54375,Moderate
3,2024-02,3,5,3,4,Hybrid schedule works most of the time,0.0,3.75,0.63125,Moderate
3,2024-03,4,3,1,3,Delivery delays and context switching,0.0,2.75,0.45624999999999993,Moderate
3,2024-04,3,3,3,4,Processes are okay but could be improved,0.6808,3.25,0.6458699999999999,Moderate
3,2024-05,4,5,4,5,"Collaborative culture, love the projects",0.6369,4.5,0.8580349999999999,High
3,2024-06,3,3,3,5,Processes are okay but could be improved,0.6808,3.5,0.68962,Moderate
3,2024-07,2,4,4,5,Some projects more interesting than others,0.4576,3.75,0.6998899999999999,Moderate
3,2024-08,3,3,3,4,Tools are adequate for my tasks,0.2263,3.25,0.577695,Moderate
3,2024-09,3,4,2,5,Getting used to new systems,0.0,3.5,0.5875,Moderate
3,2024-10,4,4,3,2,Standard benefits and compensation,0.3818,3.25,0.60102,Moderate
3,2024-11,3,4,3,4,"Communication is fine, some delays",0.2023,3.5,0.617845,Moderate
3,2024-12,3,4,4,3,Standard benefits and compensation,0.3818,3.5,0.64477,Moderate
3,2025-01,3,3,2,5,Standard benefits and compensation,0.3818,3.25,0.60102,Moderate
3,2025-02,3,5,3,2,Hybrid schedule works most of the time,0.0,3.25,0.54375,Moderate
3,2025-03,1,3,2,5,Delivery delays and context switching,0.0,2.75,0.45624999999999993,Moderate
3,2025-04,3,1,4,5,Processes are okay but could be improved,0.6808,3.25,0.6458699999999999,Moderate
3,2025-05,4,4,2,2,"Communication is fine, some delays",0.2023,3.0,0.530345,Moderate
3,2025-06,4,4,4,3,Team dynamic is stable,0.5859,3.75,0.719135,High
3,2025-07,3,4,2,3,Hybrid schedule works most of the time,0.0,3.0,0.5,Moderate
3,2025-08,2,3,4,4,"Communication is fine, some delays",0.2023,3.25,0.574095,Moderate
3,2025-09,4,4,4,5,Challenging work with great autonomy,0.6908,4.25,0.8223699999999999,High
4,2023-10,4,3,4,2,Some projects more interesting than others,0.4576,3.25,0.61239,Moderate
4,2023-11,3,4,3,3,Tools are adequate for my tasks,0.2263,3.25,0.577695,Moderate
4,2023-12,3,4,2,4,Team dynamic is stable,0.5859,3.25,0.631635,Moderate
4,2024-01,3,4,4,4,Hybrid schedule works most of the time,0.0,3.75,0.63125,Moderate
4,2024-02,3,4,4,3,Standard benefits and compensation,0.3818,3.5,0.64477,Moderate
4,2024-03,4,4,4,3,Workload is manageable most weeks,0.0,3.75,0.63125,Moderate
4,2024-04,3,3,3,4,Hybrid schedule works most of the time,0.0,3.25,0.54375,Moderate
4,2024-05,3,4,1,3,Too many meetings and unclear priorities,-0.25,2.75,0.41874999999999996,Moderate
4,2024-06,2,3,3,4,Standard benefits and compensation,0.3818,3.0,0.5572699999999999,Moderate
4,2024-07,3,3,4,4,Some projects more interesting than others,0.4576,3.5,0.65614,Moderate
4,2024-08,3,4,3,3,Tools are adequate for my tasks,0.2263,3.25,0.577695,Moderate
4,2024-09,4,3,4,2,Processes are okay but could be improved,0.6808,3.25,0.6458699999999999,Moderate
4,2024-10,3,3,3,4,Hybrid schedule works most of the time,0.0,3.25,0.54375,Moderate
4,2024-11,4,4,2,3,Standard benefits and compensation,0.3818,3.25,0.60102,Moderate
4,2024-12,1,5,1,4,Lack of growth opportunities,0.4404,2.75,0.5223099999999999,Moderate
4,2025-01,2,4,4,4,Getting used to new systems,0.0,3.5,0.5875,Moderate
4,2025-02,3,3,4,4,Some projects more interesting than others,0.4576,3.5,0.65614,Moderate
4,2025-03,3,3,4,4,Getting used to new systems,0.0,3.5,0.5875,Moderate
4,2025-04,2,5,4,3,"Communication is fine, some delays",0.2023,3.5,0.617845,Moderate
4,2025-05,4,2,4,5,Tools are adequate for my tasks,0.2263,3.75,0.665195,Moderate
4,2025-06,2,3,4,5,"Communication is fine, some delays",0.2023,3.5,0.617845,Moderate
4,2025-07,5,2,4,4,Hybrid schedule works most of the time,0.0,3.75,0.63125,Moderate
4,2025-08,3,5,1,4,Team dynamic is stable,0.5859,3.25,0.631635,Moderate
4,2025-09,3,4,4,4,Team dynamic is stable,0.5859,3.75,0.719135,High
5,2023-10,2,3,1,4,Delivery delays and context switching,0.0,2.5,0.4125,Moderate
5,2023-11,3,3,4,4,Some projects more interesting than others,0.4576,3.5,0.65614,Moderate
5,2023-12,3,2,5,5,Some projects more interesting than others,0.4576,3.75,0.6998899999999999,Moderate
5,2024-01,3,3,3,4,Standard benefits and compensation,0.3818,3.25,0.60102,Moderate
5,2024-02,4,4,3,1,Hybrid schedule works most of the time,0.0,3.0,0.5,Moderate
5,2024-03,3,4,3,3,"Communication is fine, some delays",0.2023,3.25,0.574095,Moderate
5,2024-04,2,3,3,3,Frequent reorganizations causing confusion,-0.296,2.75,0.41184999999999994,Moderate
